你好	1	16
0 753.953125 360 187	http://m.dict.cn/%E4%BD%A0%E5%A5%BD	30000000	0
0 1160.953125 360 420	https://brandapi.sogou.com/galaxy_wap/encodeUrl?target=https%3A%2F%2Fm.ctrip.com%2Fwebapp%2Fhotel%2Fhoteldetail%2F1521176.html%3Fdays%3D1%26daylater%3D2%26allianceid%3D4901%26sid%3D901633%26ouid%3D1521176%26autoawaken%3Dclose%26popup%3Dclose&queryString=%E4%BD%A0%E5%A5%BD&qcQuery=%E4%BD%A0%E5%A5%BD&ip=166.111.138.86&style=40103&sub_sector=40004&sr=vr&adlocation=1&pid=sogouwap&ua="Chrome(Android 6.1.1; Nexus 6 Build/LYZ28E)"&hs=0&uuid=ff296ee5-7c57-4359-ac7b-5d352592becf&f=1&position=20031&wuid=AAGE78isNgAAAAqPNHUsvAEAVQM=&suid=&pvid=70117823&accid=19969135&pid=sogouwap&fpid=sogouwap&vrid=70117823&host=sogou.com	70117823	1
0 1586.953125 360 243	https://www.xiaohongshu.com/discovery/item/sgh/5d2c323b000000002703914b	30010273	2
0 1835.53125 360 302	https://weixin.sogou.com/weixinwap?ie=utf8&query=%E4%BD%A0%E5%A5%BD&type=2&sourceid=weixinvr	11002501	3
0 2143.53125 360 248	https://wap.sogou.com/web/searchList.jsp?s_from=kmap_recommend&&rcer=y36SI7TY&kmap_rank=7&keyword=%E8%80%BF%E8%80%BF&innerid=c3f9b810ea91c2dd59478feb8aaa1630&entityid=174740923&zlfrank=7&htprequery=%E4%BD%A0%E5%A5%BD	11003501	4
0 2398.203125 360 461	https://m.weibo.cn/status/4646539235954892?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0&launchid=10000360-sougousousuo_9999_01	11018201	5
0 2865.4375 360 246	https://hanyu.sogou.com/result?query=你好&mzid=70231006	70231006	6
0 3117.4375 360 160	https://www.wordreference.com/zhen/%E4%BD%A0%E5%A5%BD	30000000	7
0 3283.4375 360 187	https://www.wordhippo.com/what-is/the-meaning-of/chinese-word-896efb826e576ca5680f96843e5af76f8dadedce.html	30000000	8
0 3516.4375 360 444	https://wap.sogou.com/web/searchList.jsp?m2web=news.sogou.com&pid=sogou-waps-ebbb5ccb88b2cd2e&keyword=%E4%BD%A0%E5%A5%BD	30000501	9
0 3966.65625 360 374	https://m.sogou.com/web/searchList.jsp?insite=zhihu.com&pid=sogou-waps-21a38ed2ee0c2c08&query=%E4%BD%A0%E5%A5%BD	30010244	10
0 4346.65625 360 187	https://context.reverso.net/%E7%BF%BB%E8%AF%91/%E4%B8%AD%E6%96%87-%E8%8B%B1%E8%AF%AD/%E4%BD%A0%E5%A5%BD	30000000	11
0 4753.65625 360 182	https://wk.baidu.com/view/560f578d680203d8ce2f24e9?pcf=2	30010259	12
0 4941.65625 360 187	https://haopianw5.com/Dy/196978.html	30000000	13
0 5134.65625 360 221	http://www.nihao.net/	30010026	14
0 5912.5625 360 209	https://www.iqiyi.com/v_wy9ak8ezio.html	30000909	15

